timestamp,temperature,humidity,precip
2025-10-05 00:00,20.5,82,0.0
2025-10-05 01:00,20.1,83,0.0
2025-10-05 02:00,19.8,84,0.0
2025-10-05 03:00,19.6,85,0.0
2025-10-05 04:00,19.7,85,0.0
2025-10-05 05:00,20.0,84,0.0
2025-10-05 06:00,21.0,82,0.0
2025-10-05 07:00,22.5,78,0.0
2025-10-05 08:00,24.0,74,0.0
2025-10-05 09:00,25.2,70,0.0
2025-10-05 10:00,26.1,66,0.0
2025-10-05 11:00,27.0,62,0.0
2025-10-05 12:00,27.5,60,0.0
2025-10-05 13:00,27.3,61,0.0
2025-10-05 14:00,26.8,63,0.0
2025-10-05 15:00,26.0,65,0.0
2025-10-05 16:00,25.0,67,0.0
2025-10-05 17:00,24.0,69,0.0
2025-10-05 18:00,23.0,72,0.0
2025-10-05 19:00,22.0,75,0.0
2025-10-05 20:00,21.2,78,0.0
2025-10-05 21:00,20.8,80,0.0
2025-10-05 22:00,20.6,81,0.0
2025-10-05 23:00,20.5,82,0.0
